StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q10 CONTROL,Q11 SPLIT,Q12 FREE ALLOCATION_1,Q12 FREE ALLOCATION_2,Q12 FREE ALLOCATION_5,Q14,Q44,Q29,Q30,Q51,Q52,Q52_4_TEXT,Q50,Q3,Q24 Sharma/Morwitz,Q15,Q16,Q17,Q25,Q26,Q46,Q47,Q48,Q49,Q39,Q40,Q41,Q42,Q20,Q21,Q22,Q23,Q27_1,Q28_1,Q28_2,Q28_3,PROLIFIC_PID,AMF
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"If you agree to participate in this research, please select YES in the box below and click the button below.","If you choose to donate any part of your bonus at the end of the study, which option would you choose?","If you choose to donate any part of your bonus at the end of the study, which option would you choose?","If you choose to donate any part of your bonus at the end of the study, how would you like to allocate your donation among the charities? Please indicate in percentages. (The total must equal 100%) - Against Malaria Foundation","If you choose to donate any part of your bonus at the end of the study, how would you like to allocate your donation among the charities? Please indicate in percentages. (The total must equal 100%) - The Malaria Consortium","If you choose to donate any part of your bonus at the end of the study, how would you like to allocate your donation among the charities? Please indicate in percentages. (The total must equal 100%) - United to Beat Malaria",How much between $0 and $100 would you want to donate to the cause of malaria prevention?,How important do you personally consider the cause of malaria prevention to be?,What gift could you win in this study?,"As we explained, the decisions made in this study can have consequences involving real money.
One randomly selected participant’s decisions will be implemented, influencing how much of
$100 that person receives and how much goes to charity. We would like to know whether you
believed that this was true when you made your decisions. Please check one response:",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,What is your Prolific ID? Please note that this response should auto-fill with the correct ID,To what extent do you think your donation would make an impact on malaria prevention?,My donation is likely to produce the desired impact on the cause.,"My donation to this cause is likely to make a
greater impact than an equal donation to other causes.","My donation would personally make a difference to the supported
cause.",I am confident in my ability to choose charitable causes that have the greatest positive impact.,I am confident in my ability to choose individual charities to donate to that will have the greatest positive impact on a cause I care about.,My donation to UBM is likely to produce the desired impact on the charity's efforts.,"My donation to UBM is likely to make a
greater impact than an equal donation to other charities supporting malaria prevention.",My donation to UBM would personally make a difference to them.,I am confident that UBM will use my donation effectively.,My donation to TMC is likely to produce the desired impact on the charity's efforts.,"My donation to TMC is likely to make a
greater impact than an equal donation to other charities supporting malaria prevention.",My donation to TMC would personally make a difference to them.,I am confident that TMC will use my donation effectively.,My donation to AMF is likely to produce the desired impact on the charity's efforts.,"My donation to AMF is likely to make a
greater impact than an equal donation to other charities supporting malaria prevention.",My donation to AMF would personally make a difference to them.,I am confident that AMF will use my donation effectively.,"How good do you feel about making a charitable donation today? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - How good do you feel?","How good do you feel about the donation you just made to the charity below? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - The Malaria Consortium","How good do you feel about the donation you just made to the charity below? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - Against Malaria Foundation","How good do you feel about the donation you just made to the charity below? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - United to Beat Malaria",PROLIFIC_PID,AMF
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""AMF""}"
2024-02-29 16:12:33,2024-02-29 16:15:20,IP Address,174.208.99.137,100,167,True,2024-02-29 16:15:21,R_5bVrzisLZhZMxvV,,,,,38.687,-121.3477,anonymous,EN,0.800000011920929,YES,Donate all to Against Malaria Foundation,,,,,100,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",45-54 years old,Male,,White or Caucasian,65de3f6558e2556c9250e39e,-,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,,100,,65de3f6558e2556c9250e39e,Against Malaria Foundation
2024-02-29 16:13:33,2024-02-29 16:17:30,IP Address,104.231.39.248,100,236,True,2024-02-29 16:17:31,R_5HeHoHB7v9srELc,,,,,38.0936,-84.5009,anonymous,EN,0.8999999761581421,YES,,,10,60,30,25,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,612bd8e32fe92050e3177217,-,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,22,41,19,12,612bd8e32fe92050e3177217,Against Malaria Foundation
2024-02-29 16:10:14,2024-02-29 16:18:51,IP Address,107.193.179.99,100,516,True,2024-02-29 16:18:51,R_7xz4R5YiGgDZ4V7,,,,,37.2567,-93.2944,anonymous,EN,1,YES,,,0,100,0,100,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65+ years old,Male,,White or Caucasian,62df4a06387d284d36055b04,-,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,,93,94,,,62df4a06387d284d36055b04,Against Malaria Foundation
2024-02-29 16:21:06,2024-02-29 16:27:11,IP Address,172.58.15.189,100,365,True,2024-02-29 16:27:12,R_6I7s1X6PhsTYnKN,,,,,44.9834,-93.2622,anonymous,EN,1,YES,,,100,0,0,0,Not at all important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Female,,White or Caucasian,65c120efe0d36932203e08a0,Not at all,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,19,,40,,65c120efe0d36932203e08a0,Against Malaria Foundation
2024-02-29 16:20:48,2024-02-29 16:28:26,IP Address,172.56.209.130,100,458,True,2024-02-29 16:28:27,R_3Gv4DAHv5nalLc5,,,,,36.1724,-115.0677,anonymous,EN,1,YES,,Donate all to Against Malaria Foundation,,,,20,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",45-54 years old,Female,,Black or African American,65b37de3d82d6819c5227ea0,-,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,100,,65b37de3d82d6819c5227ea0,Against Malaria Foundation
2024-02-29 16:26:17,2024-02-29 16:30:44,IP Address,164.68.148.49,100,266,True,2024-02-29 16:30:44,R_6Esdw18g1TSHIIB,,,,,26.5331,-80.1423,anonymous,EN,1,YES,,Donate all to The Malaria Consortium,,,,100,Very important,$100 Prolific bonus,"No, when I made my decision I did not believe that my decision could have consequences involving real money",65+ years old,Female,,White or Caucasian,5e4915503f7dd939f72a73f8,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,88,90,,,5e4915503f7dd939f72a73f8,Against Malaria Foundation
2024-02-29 16:27:33,2024-02-29 16:31:12,IP Address,174.210.71.132,100,219,True,2024-02-29 16:31:12,R_1IbdQOoWToydg7M,,,,,35.2916,-80.8201,anonymous,EN,1,YES,Donate all to Against Malaria Foundation,,,,,0,Not at all important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,5c1ad24cfcd4490001d3f2c1,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,,,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,100,,100,,5c1ad24cfcd4490001d3f2c1,Against Malaria Foundation
2024-02-29 16:29:17,2024-02-29 16:33:28,IP Address,57.140.108.58,100,251,True,2024-02-29 16:33:29,R_1kte9WzDJAKhGM5,,,,,47.6034,-122.3414,anonymous,EN,1,YES,,,30,40,30,25,Slightly important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,Black or African American,5f4c2067fca470836d4c2b24,-,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,65,88,89,89,5f4c2067fca470836d4c2b24,Against Malaria Foundation
