StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q7,Q8,Q9,Q10,Q10_4_TEXT,Q11,Q12,Q14,Q15,Q16_1,Q16_5,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31_1,Q66_1,Q66_2,Q33,Q34,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"If you agree to participate in this research, please select YES in the box below and click the button below.",How much between $0 and $100 would you want to donate to the cause of malaria prevention?,How important do you personally consider the cause of malaria prevention to be?,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,What is your Prolific ID? Please note that this response should auto-fill with the correct ID,"If you donate any part of your bonus at the end of the study, which option would you choose?","If you donate any part of your bonus at the end of the study, which option would you choose?","If you donate any part of your bonus at the end of the study, how would you like to allocate your donation among the charities? Please indicate in percentages. (The total must equal 100%) - Against Malaria Foundation","If you donate any part of your bonus at the end of the study, how would you like to allocate your donation among the charities? Please indicate in percentages. (The total must equal 100%) - United to Beat Malaria",My donation is likely to produce the desired impact on the cause.,"My donation to this cause is likely to make a
greater impact than an equal donation to other causes.","My donation would personally make a difference to the supported
cause.",My donation to UBM is likely to produce the desired impact on the charity's efforts.,"My donation to UBM is likely to make a
greater impact than an equal donation to other charities supporting malaria prevention.",My donation to UBM would personally make a difference to them.,I am confident that UBM will use my donation effectively.,My donation to AMF is likely to produce the desired impact on the charity's efforts.,"My donation to AMF is likely to make a
greater impact than an equal donation to other charities supporting malaria prevention.",My donation to AMF would personally make a difference to them.,I am confident that AMF will use my donation effectively.,"How good do you feel about making a charitable donation today? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - How good do you feel?","How good do you feel about the donation you just made to the charity listed below? 

Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - Against Malaria Foundation","How good do you feel about the donation you just made to the charity listed below? 

Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - United to Beat Malaria",What gift could you win in this study?,"As we explained, the decisions made in this study can have consequences involving real money.
One randomly selected participant’s decisions will be implemented, influencing how much of
$100 that person receives and how much goes to charity. We would like to know whether you
believed that this was true when you made your decisions. Please check one response:",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""PROLIFIC_PID""}"
2024-04-04 15:32:24,2024-04-04 15:36:35,IP Address,132.239.142.132,100,251,True,2024-04-04 15:36:36,R_11Wrbm8ZxLeEHGt,,,,,32.7404,-117.1355,anonymous,EN,0.8999999761581421,YES,1,Very important,65+ years old,Male,,White or Caucasian,5f33f5c671dbfc2622aecda4,Donate all to United to Beat Malaria,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,,,,,2,,10,$100 Prolific bonus,"No, when I made my decision I did not believe that my decision could have consequences involving real money",5f33f5c671dbfc2622aecda4
2024-04-04 15:36:29,2024-04-04 15:37:51,IP Address,74.214.255.232,100,81,True,2024-04-04 15:37:52,R_2EzrBZBMWW6eZA5,,,,,39.6733,-110.8582,anonymous,EN,1,YES,0,Extremely important,18-24 years old,Male,,White or Caucasian,660ee106a605b1ebcd58b731,,,,,,,,,,,,,,,,,,,,,660ee106a605b1ebcd58b731
2024-04-04 15:35:00,2024-04-04 15:39:20,IP Address,174.97.251.156,100,260,True,2024-04-04 15:39:21,R_8IXEGxrmkpP6C3G,,,,,39.5082,-84.3987,anonymous,EN,1,YES,50,Moderately important,45-54 years old,Female,,Black or African American,660d42580e9b46dac6ccf136,,Split donation equally among both the charities,,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,90,96,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",660d42580e9b46dac6ccf136
2024-04-04 15:40:39,2024-04-04 15:45:12,IP Address,97.95.12.198,100,273,True,2024-04-04 15:45:13,R_7N4gvsVNdLZJADr,,,,,43.0352,-83.5248,anonymous,EN,0.8999999761581421,YES,50,Very important,18-24 years old,Female,,White or Caucasian,61131eef1a6c06f4f18c8f5e,Donate all to Against Malaria Foundation,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,77,82,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",61131eef1a6c06f4f18c8f5e
2024-04-04 15:40:44,2024-04-04 15:45:46,IP Address,100.16.1.31,100,301,True,2024-04-04 15:45:46,R_3Eh6TofXRqYn3EZ,,,,,39.5372,-76.3605,anonymous,EN,1,YES,100,Extremely important,45-54 years old,Male,,White or Caucasian,660efca2824d94b70445f212,,,50,50,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,100,100,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",660efca2824d94b70445f212
2024-04-04 15:47:25,2024-04-04 15:49:48,IP Address,165.225.32.110,100,143,True,2024-04-04 15:49:49,R_4Cf0il60YvdahX5,,,,,32.7797,-96.8022,anonymous,EN,1,YES,0,Slightly important,25-34 years old,Male,,White or Caucasian,660efd4bf0ade43af21196fd,,,,,,,,,,,,,,,,,,,,,660efd4bf0ade43af21196fd
2024-04-04 15:50:40,2024-04-04 15:52:31,IP Address,107.134.162.207,100,110,True,2024-04-04 15:52:32,R_28tzM5UFqKwBRzr,,,,,43.642,-84.2673,anonymous,EN,1,YES,0,Extremely important,18-24 years old,Male,,White or Caucasian,660ef333e0881314320931f9,,,,,,,,,,,,,,,,,,,,,660ef333e0881314320931f9
2024-04-04 15:51:20,2024-04-04 15:54:23,IP Address,136.32.163.160,100,182,True,2024-04-04 15:54:24,R_3GEBwOfsW6Rmcc9,,,,,38.8597,-94.6611,anonymous,EN,1,YES,25,Very important,25-34 years old,Female,,White or Caucasian,60fedd3890ce06a5f852b2e8,,,100,0,Somewhat disagree,Strongly disagree,Somewhat disagree,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,100,16,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",60fedd3890ce06a5f852b2e8
