StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q7,Q8,Q8_DO,Q9,Q11,Q12,Q13,Q14_1,Q15_1,Q15_4,Q15_2,Q16_1,Q16_5,Q16_6,Q16_DO,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_5,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21,Q21_DO,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q26,PROLIFIC_PID,VERSION,FL_64_DO,CharityOptions_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"If you agree to participate in this research, please select YES in the box below and click the button below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Would you please be willing to donate part of your bonus to the cause of malaria prevention? You can choose any amount from $0 to $20. 

A randomly selected participant will get a bonus payment of $20 from us. It's up to you to decide if and how much of your bonus you want to donate. For example, if you decide to donate $10, then we will donate that money to the charity you choose and the remaining $10 will be sent to you as a bonus on Prolific. Once again, this means that your decisions could have real world consequences for yourself and for the cause.",Which of these charities would you like your donation to go to?,Which of these charities would you like your donation to go to? - Display Order,"Thank you for agreeing to donate some of your bonus to this cause if you win.

How much between $0 and $20 would you want to donate to the cause of malaria prevention?",My donation is likely to produce the desired impact on the cause.,"My donation to this cause is likely to make a
greater impact than an equal donation to other causes.","My donation would personally make a difference to the supported
cause.","How good do you feel about making a charitable donation today? Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - How good do you feel?","How good do you feel about the donation you just made to the charity listed below? 

Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - Against Malaria Foundation","How good do you feel about the donation you just made to the charity listed below? 

Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - The Malaria Consortium","How good do you feel about the donation you just made to the charity listed below? 

Move the slider to indicate how you feel.

0 stands for not feeling good about it, and 100 stands for feeling extremely good about it. - United to Beat Malaria","Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 



	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	














Would you please consider making a contribution to this charity too? If so, please reallocate your donation among the charities. Please indicate in percentages. (The total must equal 100%) - Against Malaria Foundation","Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 



	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	














Would you please consider making a contribution to this charity too? If so, please reallocate your donation among the charities. Please indicate in percentages. (The total must equal 100%) - The Malaria Consortium","Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 



	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	














Would you please consider making a contribution to this charity too? If so, please reallocate your donation among the charities. Please indicate in percentages. (The total must equal 100%) - United to Beat Malaria","Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 



	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	














Would you please consider making a contribution to this charity too? If so, please reallocate your donation among the charities. Please indicate in percentages. (The total must equal 100%) - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 

	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	
















Would you please consider making a contribution to this charity too? If so, please indicate how much more you would be willing to give to this charity:

Donation already committed : - Donation you have already committed","Thank you for your support of the cause. Here is another extremely effective charity that has had a measurable positive impact on the cause of malaria prevention.

 

	
		
			
			
			United to Beat Malaria brings together a diverse set of partners, influencers and supporters across the U.S. and around the world to take urgent action to end malaria. They have successfully advocated for increased U.S. leadership and funding for global malaria programs.
		
	
















Would you please consider making a contribution to this charity too? If so, please indicate how much more you would be willing to give to this charity:

Donation already committed : - Additional additional contribution to United to Beat Malaria",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How important do you personally consider the cause of malaria prevention to be?,What gift could you win in this study?,What gift could you win in this study? - Display Order,"As we explained, the decisions made in this study can have consequences involving real money.
One randomly selected participant’s decisions will be implemented, influencing how much of
$20 that person receives and how much goes to charity. We would like to know whether you
believed that this was true when you made your decisions. Please check one response:",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,What is your Prolific ID? Please note that this response should auto-fill with the correct ID,PROLIFIC_PID,VERSION,FL_64 - Block Randomizer - Display Order,Charity Options - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_DO""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_4""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID70_6""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_5""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_DO""}","{""ImportId"":""QID30""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""VERSION""}","{""ImportId"":""FL_64_DO""}","{""ImportId"":""BL_29q3LldC6IeTa8m_DO""}"
2024-05-02 10:57:19,2024-05-02 10:58:19,IP Address,98.3.78.62,100,60,True,2024-05-02 10:58:20,R_5jkoVi2eVGbw9Ev,,,,,43.0054,-75.0528,anonymous,EN,1,YES,,,,,NO. I am not willing to donate any part of my bonus for malaria prevention,,,,,,,,,,,,,,,,,,,,,,,,,Very important,$20 Prolific bonus,$20 Starbucks gift card|$20 Prolific bonus|$20 mTurk contribution|$20 Amazon gift card|$10 Paypal bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,65b26bbe1d5dfa901eeb87c3,65b26bbe1d5dfa901eeb87c3,1,FL_65,Q3|Q4|Q6
2024-05-02 10:55:58,2024-05-02 10:58:31,IP Address,12.16.56.230,100,152,True,2024-05-02 10:58:31,R_2zkGsc5qnHub3n4,,,,,29.7738,-95.406,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,Against Malaria Foundation|The Malaria Consortium,10,Somewhat agree,Somewhat agree,Somewhat agree,41,,74,,,,,,,,,,10,0,0,0,10.263,0,Slightly important,$20 Prolific bonus,$20 Starbucks gift card|$20 mTurk contribution|$10 Paypal bonus|$20 Amazon gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,Other,6107720531103f62fdf383e4,6107720531103f62fdf383e4,3,FL_67,Q3|Q4|Q6
2024-05-02 10:56:27,2024-05-02 10:59:06,IP Address,75.211.30.183,100,159,True,2024-05-02 10:59:07,R_6objKMhnMRSMFtn,,,,,41.864,-88.0671,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,The Malaria Consortium|Against Malaria Foundation,10.00,Somewhat agree,Somewhat agree,Somewhat agree,60,,81,,,,,,,,,,10.00,0,9.431,9.431,19.265,1,Slightly important,$20 Prolific bonus,$20 Amazon gift card|$20 Prolific bonus|$20 mTurk contribution|$20 Starbucks gift card|$10 Paypal bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",55-64 years old,Female,,White or Caucasian,63d2fe57eea8cacc91a44fdd,63d2fe57eea8cacc91a44fdd,3,FL_67,Q3|Q5|Q6
2024-05-02 10:56:22,2024-05-02 10:59:10,IP Address,174.81.121.82,100,168,True,2024-05-02 10:59:11,R_6Kd2Hcc8uAzaeD8,,,,,34.157,-77.9136,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,Against Malaria Foundation,Against Malaria Foundation|The Malaria Consortium,10,Somewhat agree,Neither agree nor disagree,Somewhat agree,50,50,,,100,,0,Against Malaria Foundation|United to Beat Malaria,4.411,21.58,29.015,4,,,,,,,Very important,$20 Prolific bonus,$20 Amazon gift card|$10 Paypal bonus|$20 Prolific bonus|$20 mTurk contribution|$20 Starbucks gift card,"No, when I made my decision I did not believe that my decision could have consequences involving real money",45-54 years old,Male,,White or Caucasian,662bd73f5d1ebe5b275d7d5a,662bd73f5d1ebe5b275d7d5a,2,FL_66,Q3|Q4|Q6
2024-05-02 10:57:34,2024-05-02 10:59:55,IP Address,76.37.156.113,100,141,True,2024-05-02 10:59:56,R_3ElM20w1V16syfT,,,,,43.1612,-78.6946,anonymous,EN,1,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,The Malaria Consortium|Against Malaria Foundation,5,Somewhat agree,Somewhat agree,Somewhat agree,80,,70,,,,,,,,,,5,0,0,0,10.672,0,Very important,$20 Prolific bonus,$20 mTurk contribution|$10 Paypal bonus|$20 Prolific bonus|$20 Starbucks gift card|$20 Amazon gift card,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,63e52076fc677ee3ccce9a4d,63e52076fc677ee3ccce9a4d,3,FL_67,Q3|Q5|Q6
2024-05-02 10:57:34,2024-05-02 11:00:23,IP Address,217.180.216.127,100,169,True,2024-05-02 11:00:24,R_1fmFYhKkAFSNmXD,,,,,42.9656,-85.65,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,Against Malaria Foundation|The Malaria Consortium,10,Somewhat agree,Neither agree nor disagree,Somewhat agree,100,,98,,,,,,,,,,10,0,0,0,18.202,0,Extremely important,$20 Prolific bonus,$20 Starbucks gift card|$10 Paypal bonus|$20 mTurk contribution|$20 Amazon gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Female,,White or Caucasian,5484739ffdf99b0379939c95,5484739ffdf99b0379939c95,3,FL_67,Q3|Q4|Q6
2024-05-02 10:57:43,2024-05-02 11:00:31,IP Address,99.32.188.232,100,167,True,2024-05-02 11:00:31,R_3oBDntVEwOGNycF,,,,,33.7474,-84.3747,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,Against Malaria Foundation,The Malaria Consortium|Against Malaria Foundation,2,Strongly disagree,Strongly disagree,Strongly disagree,40,29,,,100,,0,United to Beat Malaria|Against Malaria Foundation,4.354,29.029,33.321,10,,,,,,,Very important,$20 Prolific bonus,$20 Starbucks gift card|$20 Amazon gift card|$20 Prolific bonus|$10 Paypal bonus|$20 mTurk contribution,"Yes, when I made my decision I assumed that it could have consequences involving real money",55-64 years old,Male,,White or Caucasian,62ec557954bc435fb9b35517,62ec557954bc435fb9b35517,2,FL_66,Q3|Q4|Q6
2024-05-02 10:57:40,2024-05-02 11:00:36,IP Address,129.120.67.51,100,175,True,2024-05-02 11:00:36,R_5gNP5lrZNAV0fjl,,,,,33.2205,-97.1294,anonymous,EN,1,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,The Malaria Consortium|Against Malaria Foundation,1,Strongly agree,Somewhat agree,Strongly agree,100,,100,,,100,0,United to Beat Malaria|The Malaria Consortium,12.536,12.536,14.835,1,,,,,,,Slightly important,$20 Prolific bonus,$10 Paypal bonus|$20 Amazon gift card|$20 Starbucks gift card|$20 Prolific bonus|$20 mTurk contribution,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Female,,White or Caucasian,610047b91150f99de033112c,610047b91150f99de033112c,2,FL_66,Q3|Q5|Q6
2024-05-02 10:58:07,2024-05-02 11:00:51,IP Address,73.250.69.202,100,164,True,2024-05-02 11:00:52,R_5cnnMm6KzocSYxT,,,,,39.3407,-76.6753,anonymous,EN,1,YES,,,,,NO. I am not willing to donate any part of my bonus for malaria prevention,,,,,,,,,,,,,,,,,,,,,,,,,Moderately important,$20 Prolific bonus,$20 Starbucks gift card|$20 Amazon gift card|$20 mTurk contribution|$20 Prolific bonus|$10 Paypal bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,Black or African American,5f09cfb5ae91c405d1ef80df,5f09cfb5ae91c405d1ef80df,1,FL_65,Q3|Q5|Q6
2024-05-02 10:57:28,2024-05-02 11:00:55,IP Address,98.44.23.111,100,206,True,2024-05-02 11:00:55,R_1tEtIKU6fsc1xJv,,,,,29.7502,-95.471,anonymous,EN,1,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,Against Malaria Foundation,Against Malaria Foundation|The Malaria Consortium,15,Strongly agree,Strongly agree,Strongly agree,100,100,,,,,,,,,,,,,,,,,Extremely important,$20 Prolific bonus,$20 Starbucks gift card|$20 Amazon gift card|$20 mTurk contribution|$10 Paypal bonus|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65+ years old,Male,,White or Caucasian,62885de1cdfe242015ccacef,62885de1cdfe242015ccacef,1,FL_65,Q3|Q4|Q6
2024-05-02 10:57:20,2024-05-02 11:01:01,IP Address,76.217.31.234,100,220,True,2024-05-02 11:01:02,R_5kGCMZVAI0uNjsd,,,,,33.9075,-117.7866,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,Against Malaria Foundation,Against Malaria Foundation|The Malaria Consortium,10,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,20,20,,,100,,0,Against Malaria Foundation|United to Beat Malaria,20.005,20.161,24.3,2,,,,,,,Slightly important,$20 Prolific bonus,$10 Paypal bonus|$20 mTurk contribution|$20 Starbucks gift card|$20 Amazon gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Female,,White or Caucasian,5c40134b1580e900012320ab,5c40134b1580e900012320ab,2,FL_66,Q3|Q5|Q6
2024-05-02 10:58:39,2024-05-02 11:01:52,IP Address,47.34.138.36,100,192,True,2024-05-02 11:01:52,R_2Gv1wBdF7k7Ytc7,,,,,34.2098,-117.3997,anonymous,EN,0.8999999761581421,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,The Malaria Consortium|Against Malaria Foundation,15,Strongly agree,Strongly agree,Strongly agree,100,,100,100,,,,,,,,,15,1,4.814,14.383,15.07,5,Extremely important,$20 Prolific bonus,$20 mTurk contribution|$10 Paypal bonus|$20 Amazon gift card|$20 Starbucks gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Female,,Black or African American,65c120da6f7c7c98a7c6cd23,65c120da6f7c7c98a7c6cd23,3,FL_67,Q3|Q4|Q6
2024-05-02 11:00:06,2024-05-02 11:02:10,IP Address,99.29.83.11,100,124,True,2024-05-02 11:02:10,R_7CTsksd341ZQ3g5,,,,,34.0297,-84.1469,anonymous,EN,0.8999999761581421,YES,,,,,NO. I am not willing to donate any part of my bonus for malaria prevention,,,,,,,,,,,,,,,,,,,,,,,,,Moderately important,$20 Prolific bonus,$20 Amazon gift card|$10 Paypal bonus|$20 mTurk contribution|$20 Starbucks gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Female,,Asian,6630e52f47856ff93ed2df84,6630e52f47856ff93ed2df84,1,FL_65,Q3|Q5|Q6
2024-05-02 11:01:08,2024-05-02 11:02:26,IP Address,174.26.210.0,100,77,True,2024-05-02 11:02:26,R_7N81oxFWCppARi6,,,,,33.3322,-111.9942,anonymous,EN,1,YES,,,,,NO. I am not willing to donate any part of my bonus for malaria prevention,,,,,,,,,,,,,,,,,,,,,,,,,Moderately important,$20 Prolific bonus,$20 Prolific bonus|$10 Paypal bonus|$20 mTurk contribution|$20 Starbucks gift card|$20 Amazon gift card,"No, when I made my decision I did not believe that my decision could have consequences involving real money",45-54 years old,Male,,White or Caucasian,615c65e4fa1c6b2e5a7d0971,615c65e4fa1c6b2e5a7d0971,2,FL_66,Q3|Q5|Q6
2024-05-02 10:59:10,2024-05-02 11:02:27,IP Address,104.55.57.9,100,196,True,2024-05-02 11:02:27,R_32wC2nX34wSN0FX,,,,,27.6355,-99.5927,anonymous,EN,1,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,Against Malaria Foundation,The Malaria Consortium|Against Malaria Foundation,10,Neither agree nor disagree,Somewhat disagree,Somewhat agree,86,86,,55,90,,10,United to Beat Malaria|Against Malaria Foundation,27.702,32.03,32.697,2,,,,,,,Very important,$20 Prolific bonus,$20 mTurk contribution|$20 Prolific bonus|$20 Starbucks gift card|$20 Amazon gift card|$10 Paypal bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",45-54 years old,Male,,White or Caucasian,5ad6b454a9ea0500019a087a,5ad6b454a9ea0500019a087a,2,FL_66,Q3|Q5|Q6
2024-05-02 11:00:37,2024-05-02 11:02:41,IP Address,107.185.99.72,100,124,True,2024-05-02 11:02:42,R_2v2gc5xzTYDYeQn,,,,,33.707,-117.9519,anonymous,EN,1,YES,,,,,YES. I am willing to donate some or all of my bonus to malaria prevention,The Malaria Consortium,Against Malaria Foundation|The Malaria Consortium,10,Strongly agree,Strongly agree,Strongly agree,100,,100,90,,,,,,,,,10,5,11.871,13.351,14.442,5,Moderately important,$20 Prolific bonus,$20 mTurk contribution|$10 Paypal bonus|$20 Prolific bonus|$20 Starbucks gift card|$20 Amazon gift card,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,Asian,6554ef5e92c434ef5e724664,6554ef5e92c434ef5e724664,3,FL_67,Q3|Q4|Q6
2024-05-02 11:02:28,2024-05-02 11:03:22,IP Address,67.168.93.140,100,53,True,2024-05-02 11:03:22,R_1B3dacZd9QwdD3X,,,,,47.9856,-122.2002,anonymous,EN,1,YES,,,,,NO. I am not willing to donate any part of my bonus for malaria prevention,,,,,,,,,,,,,,,,,,,,,,,,,Not at all important,$20 Prolific bonus,$20 mTurk contribution|$20 Starbucks gift card|$10 Paypal bonus|$20 Amazon gift card|$20 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,Asian,62959d1553cc14e98f4b8d78,62959d1553cc14e98f4b8d78,3,FL_67,Q3|Q4|Q6
